Release Year,Duration,Rating,Number of Votes,Meta Score,Budget,Gross (worldwide),profit,Europe,Asia,Oceania,Africa,South America,North America,Romance,Fantasy,Animation,Crime,Drama,Adventure,Family,Comedy,Sci-Fi,Horror,Thriller,Biography,Mystery,Action,Age_Restriction_PG,Age_Restriction_PG-13,Age_Restriction_R
-0.8806228459277383,1.6014492419692716,2.897658489023625,11.581469353138216,1.4083976401233231,-0.371487668935792,-0.48577375246437343,-0.4696358674190023,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.2851345902062279,2.123428740248468,2.5724400324095757,11.581469353138216,1.521381840573177,2.9812932528583684,4.137600401280629,4.048251481077601,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0.4516713667967883,1.9146369409367894,2.355627728000211,9.880436083328943,0.9564608383239048,2.457421233828031,3.337809852349616,3.251945737895232,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
-0.46428090445131565,1.444855392485512,2.355627728000211,9.029919448424309,0.5610161367494141,0.42479779999032125,-0.14400012061951437,-0.2799335285467709,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
-0.8806228459277383,1.6014492419692716,2.355627728000211,9.029919448424309,1.4083976401233231,0.2571587539006133,2.578854235022772,2.944328543749962,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
-0.8806228459277383,2.227824639904307,2.4640338802048936,8.60466113097199,2.142794943047377,-0.7277206418764215,0.38748469055978907,0.6439993744106084,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.7847449199779092,3.0107938873231026,2.2472215757955265,8.179402813519673,0.9564608383239048,2.562195637634098,2.8383260714791807,2.641010568867631,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
-0.46428090445131565,1.2882615430017537,2.2472215757955265,8.179402813519673,0.8999687380989778,0.42479779999032125,1.5848597333099734,1.7392913828822616,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
-2.712527388423946,3.3239815862906195,2.789252336818941,7.754144496067354,2.4252554441720124,-0.7696304033988485,0.559346248336155,0.8557502664830962,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
-0.2977441278607552,3.480575435774379,2.4640338802048936,7.754144496067354,1.9733186423725952,1.0534442228267262,3.550250885207692,3.8694001958442947,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
-0.13120735127019476,4.681128281816531,2.5724400324095757,7.754144496067354,2.08630284282245,1.0743991035879394,4.836660429257859,5.366352047079942,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0.6182081433873488,2.7498041381835043,1.9220031191814793,6.903627861162717,1.182429239223614,4.343360502337246,4.500090001938958,4.113313152135123,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
-0.797354457632458,0.8184799945504767,2.1388154235908443,6.903627861162717,0.4480319362995595,-0.20384862284608393,0.9227270937336144,1.1313256448085647,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
-0.21447573956547497,3.532773385602299,2.355627728000211,6.903627861162717,1.6908581412479593,1.0743991035879394,3.8565806171848296,4.221666104359649,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0.6182081433873488,2.802002088011423,2.0304092713861617,6.4783695437104,1.3519055398983955,1.2001283881552203,1.3887682105138317,1.3063056085367146,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
-0.38101251615603543,2.2800225897322264,2.0304092713861617,6.053111226258081,0.5610161367494141,1.262993030438861,1.574305836759299,1.5064672814435502,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
